Comment,Description,Designator,Footprint,LibRef,Quantity

"Würth Elektronik 66200211122","Rectangular Power Connector, WR-MPC3 Series, Through Hole, Header, 2, 3 mm, Pin","12V","PCB-gmi8k4m1ktodtzyq7ta9-1","CMP-4f9887cd3eda905f-1","1"
"2560","integrated, Microcontrollers, Microprocessors, Semiconductors and Actives, ic, mcu","ATmega","PCB-8jt9duhprvnwroc4f88u-1","CMP-56fc9d97b69e893b-7","1"
"100nf","0805 100nF Ceramic Multilayer Capacitor, 50 VDC, +125degC, X7R Dielectric, +/-5%","C1, C2, C3, C4, C5, C8","PCB-kcepr80kcmtqzsbxw0mi-1","CMP-54a29ee556ae8b65-4","6"
"22pF","CAP CER 22PF 250V 5% NP0 0805","C6, C7","CAPC2013X100X30ML20","CMP-120985-2","2"
"AVX Interconnect / Elco 08055C104K4T2A","CAP CER 0.1UF 50V 10% X7R 0805","C9, C10, C12","CAPC2013X94X50ML20T25","CMP-126662-2","3"
"100nF","Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 25 Volts X5R 10%","C11","CAPC2013X130X50ML20T25","CMP-955674-4","1"
"1µF","Cap Ceramic 0.1uF 50V X7R 10% SMD 0805 125C Embossed T/R","C13, C14, C15, C16","CAPC2013X140X45ML15T25","CMP-135114-2","4"
"AVX F381A225MMA","Cap Tant Solid 2.2uF 10V M CASE 20% (1.6 X 0.85 X 0.8mm) SMD 1608 0.5 Ohm 105Â°C T/R","C17","PCB-asfpcoqvmjw65b2ui7gq-1","CMP-12914703-4","1"
"100nF","Cap Ceramic 0.1uF 50V X7R 10% SMD 0805 125C Embossed T/R","C18","CAPC2013X140X45ML15T25","CMP-135114-2","1"
"Vishay TR3C105K050C1600","Surface Mount Tantalum Capacitor, TANTAMOUNTr, TR3 Series, 1 F, 10%, 50 V, 2412 [6032 Metric], C","C19","PCB-9bxqyqyfgbof0i1urvsu-1","CMP-5f3e94bca6ac80f9-5","1"
"Samtec T2M-102-01-L-D-SM-WT","2.00 mm Tiger Eye™ PCB Mount Terminal Strip","CAN","PCB-40dg0rp58nnwx6q6f5hy-1","CMP-8480497f40ce5b47-1","1"
"COM-CAN-MCP2515-18","Stand-Alone CAN Controller With SPI Interface, 18-Pin SOIC, Extended Temperature","Can Ctrl","PCB-jgk6yj2ed70939s8pq4d-1","CMP-1158553-5","1"
"ISO1050DUBR","Isolated CAN Transceiver, -55 to 105 degC, 8-pin SOP (DUB), Green (RoHS & no Sb/Br)","CAN Trans","PCB-dv9o3avliib4etiw6y3o-1","CMP-1158484-6","1"
"DAC121C081CIMK/NOPB","12-Bit Micro Power Digital-to-Analog Converter with an I2C-Compatible Interface, 6-pin Tiny SOT23, Pb-Free","DAC","MK06A_L","CMP-0061-00063-3","1"
"DCR010505U","Miniature, 1 W Isolated Regulated DC-DC Converter, -40 to 85 degC, 12-pin SOP (DVB12), Pb-Free (RoHS)","DC-DC","PCB-0w4b689ivi6fxeowniek-1","CMP-13586274-5","1"
"TI-MAX232-SOIC_D-16","Dual EIA-232 Driver / Receiver, -40 to 85 degC, 16-Pin SOIC (D), Green (RoHS & no Sb/Br)","Driver","TI-D16_M","CMP-15334398-3","1"
"FTDI","CABLE USB EMBD UART 3.3V .1""HDR","FTDI","PCB-2481695-1","CMP-59035-2","1"
"Arduino ICSP","Socket; IDC; male; PIN: 6; straight; THT; 2.54mm; Pin layout: 2x3","ICSP","PCB-g3p243rht6zetr0ve90r-1","CMP-d6b21faf9aa70975-7","1"
"Red","SMD mono-color Chip LED, WL-SMCW, Yellow","MCU_5V, RX-CAN, TX-CAN","0805_A","CMP-12518870-2","3"
"Würth Elektronik 66200421122","WR-MPC3 Series, 3mm Pitch 4 Way 2 Row Shrouded Straight PCB Header, Through Hole","Microhard","PCB-cc0gjxy7zxvthdb3z3kl-1","CMP-fd7634f4ca4c22b1-2","1"
"Texas Instruments SN74HC125D","Buffer/Line Driver 4-Channel Non-Inverting 3-Straight CMOS 14-Pin SOIC","Quad Buffer","PCB-035v1nxfwsohb54msv9b-1","CMP-8c76457bbf5253b1-2","1"
"10K","Res Thick Film 2.0 x 1.2 mm 10K Ohm 5% 0.125W(1/8W) 100ppm/ C Molded SMD Paper T/R","R1","PCB-6lexfyg45u8dooebomjp-1","CMP-2e7be513b6f8f1bc-2","1"
"3.3 kO","SMD Current Sense Resistors, MC Series, 3.3 kohm, 100 mW, - 5%, 150 V, 0805 [2012 Metric]","R2, R3, R5, R7, R9","PCB-f447w93mtswmltqqtgsg-1","CMP-08a6c04cd291d761-1","5"
"Yageo RC0805FR-1010KL","YAGEO   RC0805FR-1010KL   THICK FILM RESISTOR, 10KOHM, 125mW, 1%","R4, R6, R8, R10","RESC2013X60X35ML10T20","CMP-3759268-2","4"
"10kO","YAGEO   RC0805FR-1010KL   THICK FILM RESISTOR, 10KOHM, 125mW, 1%","R11","RESC2013X60X35ML10T20","CMP-3759268-2","1"
"Adafruit Industries 1590","RA8875 Driver Board for 40-pin TFT Touch Displays - 800x480 Max","RA8875","ST-100-1_L","CMP-97945db48efe4853-5","1"
"Samtec T2M-104-01-L-D-SM-WT","2.00 mm Tiger Eyeª PCB Mount Terminal Strip","Receiver","PCB-dz4y1xmk2s7xc662vfdi-1","CMP-b1647bdb9ff86ea3-4","1"
"GY_Analog Devices LT1963EST-3.3#PBF","LDO Regulator Pos 3.3V 1.5A Automotive 4-Pin(3+Tab) SOT-223","REG3V","Analog Devices LT1963EST-3.3#PBF-Footprint-1","CMP-0f42c30bbca5d085-3","1"
"OKI-78SR-5/1.0-W36H-C","78SR Series 7.5 W Single Output 5 V Non Isolated Horizontal DC-DC Converter","REG5V","PCB-qt8np9hsq4t4iu8pb3cn-1","CMP-3191555-14","1"
"Green","SMD mono-color Chip LED, WL-SMCW, Yellow","RX-MCU","0805_A","CMP-12518870-2","1"
"TE Connectivity / AMP 2-1437565-8","Switch Tactile OFF (ON) SPST Round Button Gull Wing 0.05A 12VDC 2.55N SMD Loose Piece","SW","PCB-70k6oqbhuv68f7gyhifn-1","CMP-fb7e300dae6a24b9-2","1"
"Blue","SMD mono-color Chip LED, WL-SMCW, Yellow","TX-MCU","0805_A","CMP-12518870-2","1"
"16MHz","CRYSTAL 16.0MHZ 20PF SMD","X1","PCB-op83m43o9utotgjl9tzt-1","CMP-779572-6","1"
"Fox Electronics FOXSDLF/160-20","CRYSTAL 16.0MHZ 20PF SMD","X2","PCB-op83m43o9utotgjl9tzt-1","CMP-779572-6","1"
